year,strawberry ice cream,vanilla ice cream,chocolate ice cream
1996,9.63731510468e-08,6.4116452801e-07,2.5828926071e-07
1997,9.57774417554e-08,6.50532774887e-07,2.62723174771e-07
1998,9.78266377112e-08,6.62104913372e-07,2.66585828523e-07
1999,9.63877737625e-08,6.75215234201e-07,2.72200586579e-07
2000,9.63320988058e-08,6.9428930776e-07,2.8112315447e-07
2001,9.90032661249e-08,7.07484393609e-07,2.84885471658e-07
2002,9.99848166166e-08,7.2831807366e-07,2.93148926657e-07
2003,1.03336005276e-07,7.50950219215e-07,3.04109218664e-07
2004,1.07451261825e-07,7.76732610801e-07,3.09887547337e-07
2005,1.06769256706e-07,7.50659113472e-07,3.00941278722e-07
2006,1.08738788603e-07,7.48165541594e-07,2.9954533783e-07
2007,1.0995207016e-07,7.44723459434e-07,2.96619700046e-07
2008,1.07403659855e-07,7.37437066078e-07,2.9518445871e-07
